Wavenumber	B4C	Si	SiB6	SiC
2152.523438	0.123777	0.50689	0.306323	736636.125
2150.146484	0.125154	0.507097	0.316843	733486.3125
2147.767578	0.126184	0.49952	0.32977	731257.1875
2145.390625	0.128961	0.50061	0.329572	728291.4375
2143.011719	0.135721	0.502487	0.33194	729478.125
2140.630859	0.137768	0.498014	0.332953	726903.125
2138.25	0.135865	0.497635	0.329401	724354.6875
2135.869141	0.132325	0.499298	0.327657	722912.1875
2133.488281	0.133	0.500416	0.3347	721475.6875
2131.105469	0.129585	0.50344	0.336227	719927.6875
2128.722656	0.128699	0.505567	0.328613	718288.125
2126.337891	0.127668	0.513469	0.325241	714758.625
2123.953125	0.131115	0.515321	0.32613	713904.5625
2121.568359	0.126868	0.512351	0.317011	711714.5
2119.183594	0.124064	0.514022	0.323853	711136.1875
2116.796875	0.122913	0.514339	0.326838	708645.3125
2114.408203	0.123883	0.516134	0.332489	707063.75
2112.021484	0.12125	0.517446	0.338499	706312.125
2109.632813	0.122482	0.519695	0.332368	704790.5625
2107.242188	0.11875	0.521037	0.335641	704225.0625
2104.851563	0.118473	0.522551	0.335633	701451.75
2102.460938	0.117271	0.514489	0.33068	700231.75
2100.070313	0.115622	0.514789	0.332637	698073.625
2097.677734	0.112551	0.511177	0.331837	694587.375
2095.285156	0.109785	0.511714	0.333429	693966.6875
2092.890625	0.10621	0.511778	0.337424	692863.75
2090.496094	0.103227	0.516952	0.334735	689041.4375
2088.101563	0.097068	0.522804	0.332764	691761.875
2085.707031	0.094593	0.524042	0.317901	688778.8125
2083.310547	0.092943	0.517376	0.31173	688100.8125
2080.912109	0.091994	0.515897	0.298283	687483.625
2078.515625	0.092489	0.509575	0.308755	685247.5625
2076.117188	0.094354	0.510213	0.310355	684039.3125
2073.716797	0.09484	0.506903	0.322496	682882.8125
2071.316406	0.094359	0.510918	0.330493	679487.1875
2068.916016	0.091031	0.513239	0.33412	681407.75
2066.515625	0.088463	0.511191	0.325143	676448.5625
2064.113281	0.089239	0.512048	0.333228	676332.9375
2061.710938	0.08637	0.515111	0.328737	675919.625
2059.306641	0.086774	0.516435	0.325009	675207
2056.902344	0.087684	0.51552	0.313379	671003.75
2054.498047	0.088337	0.519252	0.325695	670014.1875
2052.091797	0.087109	0.523128	0.318322	668188.4375
2049.685547	0.082134	0.523325	0.318176	668193.3125
2047.279297	0.080653	0.525697	0.316346	666182.0625
2044.871094	0.086635	0.525167	0.326572	664685.875
2042.462891	0.086282	0.524271	0.315634	662991.125
2040.054688	0.089861	0.522656	0.305969	660940.375
2037.644531	0.091285	0.525959	0.311009	659678.0625
2035.234375	0.09191	0.53782	0.321656	658124
2032.822266	0.087167	0.541133	0.321929	658433.9375
2030.410156	0.081955	0.543563	0.330394	656335.75
2027.998047	0.07501	0.543156	0.337387	653813.8125
2025.585938	0.079536	0.538482	0.336598	653260.5
2023.171875	0.081855	0.535893	0.31914	650220.9375
2020.755859	0.086233	0.532846	0.320097	650705.1875
2018.341797	0.087081	0.530684	0.326814	646645.375
2015.923828	0.085833	0.53286	0.317901	645581.25
2013.507813	0.083204	0.528297	0.320994	644642.8125
2011.089844	0.080618	0.523465	0.322836	642617
2008.671875	0.077169	0.526249	0.329576	641561.9375
2006.253906	0.081338	0.530691	0.324659	639684.8125
2003.833984	0.082545	0.539597	0.313925	636358.0625
2001.412109	0.082714	0.539061	0.299301	635664.9375
1998.992188	0.084243	0.543303	0.304617	633535.875
1996.570313	0.084164	0.549546	0.297399	631959.1875
1994.146484	0.081623	0.547716	0.301217	632045.8125
1991.724609	0.080865	0.542678	0.303893	629832.75
1989.300781	0.081852	0.541839	0.31622	629260.8125
1986.875	0.079566	0.538807	0.322057	627645.625
1984.449219	0.077649	0.532305	0.322917	626218.9375
1982.023438	0.081733	0.52805	0.308895	622482.6875
1979.597656	0.087437	0.53617	0.323136	620459.625
1977.169922	0.08876	0.538949	0.321083	619242
1974.742188	0.087969	0.543807	0.322719	617484.5
1972.3125	0.086877	0.543335	0.322919	615592.0625
1969.882813	0.085491	0.542355	0.323499	613981.5625
1967.453125	0.083527	0.536999	0.327451	611433.8125
1965.021484	0.083874	0.528129	0.331055	612196.6875
1962.589844	0.090594	0.534096	0.328442	610347.8125
1960.15625	0.091927	0.536142	0.330152	607087.8125
1957.722656	0.0895	0.535744	0.327981	605566
1955.289063	0.086202	0.537443	0.330432	604655.125
1952.855469	0.083251	0.538181	0.331001	602996.1875
1950.419922	0.082345	0.539806	0.331355	601232.375
1947.982422	0.084196	0.540798	0.336713	600421.8125
1945.546875	0.086451	0.538981	0.329475	597952.8125
1943.109375	0.090488	0.542445	0.326123	596307.625
1940.669922	0.093852	0.543278	0.31896	595498
1938.232422	0.095801	0.542832	0.317885	593455.6875
1935.791016	0.095765	0.540684	0.320466	592726.0625
1933.351563	0.098484	0.544379	0.321407	591698.75
1930.910156	0.097459	0.548452	0.325832	589556.6875
1928.46875	0.099298	0.552979	0.324688	589523.8125
1926.025391	0.097768	0.554379	0.315806	588056.9375
1923.582031	0.097614	0.554664	0.325435	584451.375
1921.138672	0.099301	0.562819	0.321159	584366.5625
1918.693359	0.100603	0.559172	0.320141	583439.125
1916.248047	0.100379	0.555262	0.325959	584028.1875
1913.800781	0.101561	0.557974	0.321425	582438
1911.355469	0.100135	0.555941	0.325928	581552.5625
1908.90625	0.101918	0.556168	0.323987	580715.5625
1906.458984	0.101134	0.558527	0.330727	577978.75
1904.009766	0.103316	0.559833	0.3408	577033.9375
1901.560547	0.106804	0.567867	0.338391	575897.75
1899.109375	0.108418	0.569385	0.34094	573736.875
1896.658203	0.107859	0.567916	0.337258	573356.875
1894.205078	0.109241	0.572528	0.330324	571545.5
1891.751953	0.103833	0.570186	0.330963	570132.6875
1889.298828	0.103381	0.568083	0.326433	568767.5
1886.845703	0.10007	0.562317	0.337243	567490.625
1884.390625	0.101297	0.558489	0.345089	566392.625
1881.933594	0.104557	0.554902	0.341432	565404.125
1879.478516	0.106118	0.556992	0.339795	563248.75
1877.021484	0.109679	0.553963	0.329602	561660.3125
1874.5625	0.111143	0.558633	0.324093	560112.375
1872.105469	0.10638	0.55586	0.318242	558182.9375
1869.644531	0.107172	0.559754	0.310472	556679.5
1867.185547	0.103806	0.563475	0.315366	556134.1875
1864.724609	0.106435	0.56473	0.330108	553363.1875
1862.263672	0.104876	0.56896	0.331436	551833.8125
1859.800781	0.103728	0.574574	0.33701	550566.25
1857.337891	0.103691	0.570364	0.338965	549734.75
1854.873047	0.103945	0.5634	0.335685	548192.375
1852.410156	0.105062	0.556364	0.338421	546515.9375
1849.943359	0.110466	0.566849	0.337493	545091.875
1847.478516	0.116684	0.566813	0.332927	541480.75
1845.011719	0.121627	0.559974	0.340007	537992.3125
1842.544922	0.119493	0.569034	0.338133	539288.3125
1840.076172	0.11537	0.570273	0.34257	535167.3125
1837.607422	0.108888	0.566098	0.338448	534232.375
1835.138672	0.106185	0.562355	0.323182	534115.875
1832.667969	0.103716	0.562405	0.329698	533773.6875
1830.197266	0.103213	0.574026	0.327493	531771.4375
1827.724609	0.103351	0.572164	0.319596	527989.125
1825.251953	0.106033	0.564479	0.320243	526589.1875
1822.779297	0.107144	0.572225	0.318241	525684.3125
