Wavenumber	B4C	Si	SiB6	SiC	SiBC
2037.644531	65317.23047	5867.891602	10818.42578	659678.0625	2301.293167
2035.234375	64941.30859	5770.75293	10694.94727	658124	2297.580585
2032.822266	65094.38672	5927.700195	10846.29981	658433.9375	2296.287953
2030.410156	65078.41016	5771.516113	10818.24219	656335.75	2272.67009
2027.998047	64889.38281	5851.687012	10820.25098	653813.8125	2273.530405
2025.585938	64699.42578	5902.803711	10565.34863	653260.5	2275.371421
2023.171875	64612.09375	5760.225098	10708.27148	650220.9375	2265.681577
2020.755859	64557.93359	5880.70459	10783.81348	650705.1875	2252.359037
2018.341797	64695.27734	5762.02002	10877.93945	646645.375	2248.391271
2015.923828	64415.54297	5802.75293	10618.13965	645581.25	2240.498703
2013.507813	64210.4375	5788.63623	10667.77734	644642.8125	2244.3561
2011.089844	64530.76953	5892.416992	10544.68945	642617	2231.676589
2008.671875	64055.91797	5810.048828	10721.47266	641561.9375	2233.938384
2006.253906	64007.12891	5855.883789	10826.83984	639684.8125	2224.313454
2003.833984	64080.28125	5876.894531	10552.96484	636358.0625	2220.974724
2001.412109	64038.73047	5839.015625	10721.32324	635664.9375	2212.783461
1998.992188	63695.67969	5953.983887	10625.24023	633535.875	2218.215719
1996.570313	63687.28125	5918.167969	10705.73145	631959.1875	2213.290775
1994.146484	63926.55078	5914.364258	10675.75293	632045.8125	2210.997395
1991.724609	63765.38672	5958.02002	10584.92188	629832.75	2208.79105
1989.300781	63901.33984	5873.756836	10665.34961	629260.8125	2207.051158
1986.875	63344.32813	5910.179199	10744.69727	627645.625	2197.775814
1984.449219	63459.69141	5928.025391	10663.19922	626218.9375	2204.176059
1982.023438	63106.12109	5804.68457	10558.04688	622482.6875	2199.712061
1979.597656	62994.83594	6047.12793	10716.67285	620459.625	2201.40809
1977.169922	62971.14453	6025.780273	10588.90723	619242	2187.705729
1974.742188	63015.41016	5983.853027	10706.24609	617484.5	2193.829659
1972.3125	62678.81641	5980.032715	10640.31055	615592.0625	2190.862706
1969.882813	62648.01172	6010.169434	10709.20215	613981.5625	2193.398591
1967.453125	62324.05078	6034.115723	10641.24414	611433.8125	2185.989802
1965.021484	62724.22266	5994.288574	10623.71191	612196.6875	2197.886427
1962.589844	62500.13281	5929.811035	10722.35645	610347.8125	2196.995165
1960.15625	62552.62891	5977.395508	10699.66992	607087.8125	2192.018407
1957.722656	62399.59375	5996.182617	10699.59766	605566	2193.055575
1955.289063	62212.75	5996.469238	10697.4707	604655.125	2197.502953
1952.855469	62078.375	6146.67334	10731.28125	602996.1875	2205.849339
1950.419922	61950.22656	5986.773438	10640.86231	601232.375	2199.60313
1947.982422	61866.27344	5974.745117	10704.42773	600421.8125	2200.050876
1945.546875	61803.90625	6015.04541	10574.05664	597952.8125	2201.734725
1943.109375	61767.20703	6123.013184	10606.83203	596307.625	2209.846286
1940.669922	61623.89063	6091.471191	10668.2959	595498	2210.962903
1938.232422	61460.14844	6067.122559	10503.19629	593455.6875	2215.327471
1935.791016	61298.54297	6116.566895	10718.35547	592726.0625	2212.493084
1933.351563	61622.58984	6089.150391	10682.40918	591698.75	2215.346437
1930.910156	61651.49609	6048.435059	10582.98926	589556.6875	2224.960961
1928.46875	61213.52734	5988.291016	10580.88672	589523.8125	2231.109519
1926.025391	61408.32422	6171.776855	10713.88379	588056.9375	2233.186827
1923.582031	61166.09766	6156.651367	10703.55566	584451.375	2236.658512
1921.138672	61107.10156	6153.808594	10707.55176	584366.5625	2231.396846
1918.693359	60888.60547	6090.632813	10582.69824	583439.125	2239.261826
1916.248047	61142.52734	6162.4375	10804.4707	584028.1875	2238.212891
1913.800781	61063.125	6175.944824	10726.6709	582438	2245.299451
1911.355469	61411.83984	6207.833984	10727.58398	581552.5625	2248.349242
1908.90625	61091.34375	6169.227051	10745.8584	580715.5625	2250.173012
1906.458984	60309.50391	6246.025391	10635.46582	577978.75	2256.706679
1904.009766	60714.25	6247.23877	10720.10352	577033.9375	2256.998515
1901.560547	60459.52734	6270.901367	10651.62012	575897.75	2261.12979
1899.109375	60264.11719	6163.965332	10786.18848	573736.875	2255.288251
1896.658203	60523.67188	6160.100098	10636.13379	573356.875	2262.038505
1894.205078	60580.16797	6104.237305	10670.70703	571545.5	2263.897336
1891.751953	60353.27344	6300.168945	10577.85059	570132.6875	2264.021173
1889.298828	60432.1875	6193.347168	10628.7207	568767.5	2259.389898
1886.845703	60020.05469	6239.389648	10584.82422	567490.625	2265.445896
1884.390625	60112.24609	6255.870605	10602.05273	566392.625	2267.764304
1881.933594	60229.82031	6244.853027	10835.09668	565404.125	2263.933945
1879.478516	60262.84375	6145.294922	10765.72949	563248.75	2271.893244
1877.021484	59865.46094	6308.301758	10729.97754	561660.3125	2260.174799
1874.5625	59705.30078	6270.829102	10702.38281	560112.375	2262.000069
1872.105469	59823.83984	6180.501465	10645.31445	558182.9375	2271.981571
1869.644531	59663.76563	6219.329102	10622.83984	556679.5	2262.03669
1867.185547	59428.57813	6280.491211	10510.94922	556134.1875	2267.68915
1864.724609	59529.79688	6247.131348	10586.05566	553363.1875	2274.499393
1862.263672	59567.97656	6334.654297	10654.00586	551833.8125	2267.419496
1859.800781	59328.94141	6212.960449	10570.62988	550566.25	2263.223808
1857.337891	59192.55469	6234.460938	10492.37695	549734.75	2266.603149
1854.873047	58942.58984	6217.386719	10576.52539	548192.375	2262.063947
1852.410156	59094.48047	6272.348145	10661.63672	546515.9375	2261.719843
1849.943359	59097.19531	6353.643555	10835.93945	545091.875	2263.468434
1847.478516	58978.24219	6297.006836	10544.79102	541480.75	2261.842144
1845.011719	58356.64063	6305.269531	10586.25	537992.3125	2257.200393
1842.544922	58455.80078	6234.493164	10572.96875	539288.3125	2254.589497
1840.076172	58049.44922	6309.62207	10642.75293	535167.3125	2261.768294
1837.607422	57976.48047	6239.897461	10493.76953	534232.375	2251.583598
1835.138672	58122.20703	6329.150391	10480.52246	534115.875	2255.113393
1832.667969	58033.05078	6336.374512	10525.97949	533773.6875	2254.08239
1830.197266	58186.75	6358.769531	10399.41504	531771.4375	2254.149669
1827.724609	57662.69922	6328.555664	10495.43652	527989.125	2252.159111
1825.251953	57584.85547	6240.724121	10516.57715	526589.1875	2250.304621
1822.779297	57482.78906	6284.352051	10592.28711	525684.3125	2258.942044
1820.304688	57239.30469	6373.427246	10512.33106	524130.0938	2252.740333
1817.830078	57187.89844	6328.087402	10506.16699	522173.6875	2246.943124
1815.355469	57168.82813	6284.793457	10574.73828	521630.1875	2245.360615
1812.878906	57247.69141	6363.689941	10630.14258	520073.3125	2240.858125
1810.402344	56799.64453	6417.304688	10557.3291	518663.625	2241.010038
1807.923828	56559.71094	6408.327148	10635.90918	516210.4063	2238.794666
1805.445313	56686.07031	6349.926758	10615.58789	514084.3438	2243.26666
1802.966797	56441.25391	6388.368164	10510.57129	514923.1875	2244.392486
1800.486328	56151.21094	6450.981445	10474.16602	511766.3438	2230.947493
1798.005859	56234.21484	6334.163574	10472.04688	510597.6875	2232.594147
1795.523438	56125.74219	6389.700684	10611.98438	508677.0625	2239.00798
1793.042969	56001.20703	6487.506836	10566.5127	507068.7188	2235.566407
1790.558594	55977.42578	6424.146484	10487.83789	505676.7188	2225.559365
1788.076172	55532.89453	6388.001953	10430.34766	504184.8125	2224.284254
1785.591797	55630.01172	6546.097168	10608.36328	503806.7188	2224.921981
1783.105469	55753.21484	6448.568848	10413.04785	502266.8125	2226.479557
1780.621094	55309.12109	6449.657715	10487.37207	500784.0938	2219.510758
